#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::Terms
#tags:reading-room-terms
#columns:Front	Back
affinity	<b>say:</b> uh-FIN-uh-tee /əˈfɪnəti/<br><b>def:</b> A natural liking, attraction, or closeness to something — a sense of being naturally drawn to or well-suited for it (e.g. "an affinity for fire magic").<br>🔊 "Affinity" hides a shark's "fin" in the middle, then ends like "nutty" — a-FIN-uh-tee.<br>📖 (metaphor) someone with an affinity for something is drawn to it the way a fin is naturally built for water — it just fits, no effort needed.<br>🎭 A fish's fin is drawn to the water.
steep	<b>say:</b> STEEP /stip/<br><b>def:</b> Rising or falling very sharply, at a sharp angle — hard to walk up or down. Used for hills, streets, or stairs that go up fast.<br>🔊 "steep" rhymes exactly with "jeep" — same -eep sound, just swap the first letter.<br>📖 Picture a jeep grinding in low gear up a steep, cobblestone street outside the tavern.<br><hr><b>mnemonic:</b><br>🎭 Our jeep stalled halfway up the sharply rising mountain road.<br>🎭 Sheep refused to climb the sharply pitched, rocky hillside.<br>🎭 Deep breaths helped us climb the sharply angled staircase.
tavern	<b>say:</b> TAV-ern /ˈtævərn/<br><b>def:</b> An inn or pub — a public place where people eat, drink, and often lodge for the night, especially in older or rural settings.<br>🔊 "tavern" rhymes exactly with "cavern" — swap the "c" for a "t".<br>📖 Instead of a dark rocky cavern, picture a warm, glowing room where travelers gather to eat, drink, and rest.<br><hr><b>mnemonic:</b><br>🎭 Sailors settled their tab, then earned a warm bed upstairs.<br>🎭 Loyal guests always have earned free nights at this old inn.<br>🎭 Weary merchants ran a tab near the fireplace urn till dawn.
slates	<b>say:</b> SLAYTS /sleɪts/<br><b>def:</b> Thin, flat pieces of gray rock (or a rock-like material) laid in overlapping rows to cover a roof and keep rain out.<br>🔊 "slates" rhymes exactly with "plates" — same -ates ending, swap "pl" for "sl".<br>📖 Picture the tavern's roof shingled with gray slates stacked and overlapped like giant flat plates.<br><hr><b>mnemonic:</b><br>🎭 Workers overlapped gray plates across the roof to block rain.<br>🎭 Roofers stacked gray rock in rows, working late before the rain.<br>🎭 The gray gate-colored rock roof shed rain in overlapping rows.
parchment	<b>say:</b> PAHRCH-ment /ˈpɑrtʃmənt/<br><b>def:</b> A writing material made from treated animal skin (or paper styled to look like it) — thin, tough, and often slightly yellowed or crackly, used for old documents and maps.<br>🔊 "parchment" starts with the real word "parch" (to dry out from heat) plus the "-ment" ending — no anchor needed, the sound IS the meaning.<br>📖 Parchment is dried, parched animal skin stretched thin and cured for writing on — the dryness is baked right into the name.<br>🎭 Under desert sun, the mapmaker unrolls a parched animal skin.
savory	<b>say:</b> SAY-vuh-ree /ˈseɪvəri/<br><b>def:</b> Having a rich, appetizing taste or smell — salty, meaty, or spiced rather than sweet. Often used for food smells that make you hungry.<br>🔊 "savory" rhymes with "bravery" — same "-avery" ending, swap "s" for "br".<br>📖 It takes bravery to resist the savory smell of roasting meat drifting out of the tavern's kitchen.<br><hr><b>mnemonic:</b><br>🎭 I'd say this very stew tastes rich, salty, and meaty.<br>🎭 She'd say that very bacon smell was salty and rich.<br>🎭 Grandpa would say the very broth tasted deep and meaty.
creak	<b>say:</b> KREEK /krik/<br><b>def:</b> A long, harsh squeaking or groaning sound, like the one an old wooden door, floorboard, or hinge makes when it moves.<br>🔊 "creak" is a perfect homophone of "creek" — they sound identical.<br>📖 Picture an old wooden bridge over a creek, groaning with a loud creak every time someone crosses — the tavern door makes that same sound.<br>🎭 Ice on the creek creaks loudly as the fisherman steps across.
curl	<b>say:</b> KURL /kɝl/<br><b>def:</b> A loop or spiral shape — as a verb, to twist or coil into that shape. Smoke, hair, or paper can all curl.<br>🔊 "curl" rhymes exactly with "swirl" — same "-url" ending.<br>📖 A curl of smoke swirls upward from the tavern's chimney, twisting into loops as it rises into the night air.<br>🎭 A woodworker watches shavings curl into perfect spirals.
vapor	<b>say:</b> VAY-per /ˈveɪpər/<br><b>def:</b> The light, floating gas form a liquid turns into — like steam or mist you can sometimes see, such as the cloud rising off a hot drink or your breath on a cold morning.<br>🔊 "vapor" is just "vape" (as in vaping) + "-er"<br>📖 A vape literally makes vapor — the misty cloud you exhale. (Same image does both jobs: vape → vapor.)<br>🎭 Teens vape, per usual, clouding the yard with mist.
scatter	<b>say:</b> SKAT-er /ˈskætər/<br><b>def:</b> To throw, drop, or spread things so they end up spread out in different directions, no longer in one place.<br>🔊 "scatter" rhymes exactly with "platter" — same "-atter" ending, swap "pl" for "sc".<br>📖 A dropped platter sends bread and coins scattering across the tavern floor.<br><hr><b>mnemonic:</b><br>🎭 The vase shattered, flinging shards in every direction.<br>🎭 Yelling scat sent the pigeons bursting off in all directions.<br>🎭 Cake batter splattered everywhere when the mixer lid popped off.
patrons	<b>say:</b> PAY-trenz /ˈpeɪtrənz/<br><b>def:</b> The customers or regular guests of a place — especially a business like a tavern, shop, or theater — the people who go there and pay to use it.<br>🔊 "patrons" rhymes exactly with "matrons" — swap the "m" for a "p".<br>📖 Picture the town's stern matrons seated right alongside the tavern's patrons for the evening meal — the regulars who keep coming back to spend their coin there.<br>🎭 Payday herons return, becoming pond regulars.
rack	<b>say:</b> RAK /ræk/<br><b>def:</b> A frame or stand with bars, hooks, or shelves used to hold or store things — like a rack of weapons or mugs hanging on a tavern wall.<br>🔊 "rack" rhymes exactly with "back" — just swap the first letter.<br>📖 picture a wooden rack mounted on the back wall of the tavern, holding swords and mugs in neat rows.<br><hr><b>mnemonic:</b><br>🎭 He hung his coat back onto the wall-mounted hook stand.<br>🎭 Climbers packed their ropes onto the sturdy metal wall stand.<br>🎭 Soldiers slid their spears onto the worn wooden weapon track.
brisk	<b>say:</b> BRISK /brɪsk/<br><b>def:</b> Moving quickly and full of energy; something happening at a fast, lively pace.<br>🔊 "brisk" rhymes exactly with "risk" — just add a "b" in front.<br>📖 picture briskly weaving through a busy, noisy tavern at a fast, lively pace, like taking a quick risk dodging between tables.<br>🎭 By risking an accident, the pizza bike weaves fast through traffic.
jerk	<b>say:</b> JURK /dʒɝk/<br><b>def:</b> A sudden, quick, sharp pulling or movement — like yanking something abruptly.<br>🔊 "jerk" rhymes exactly with "work" — just swap the first sound.<br>📖 picture the hard, sudden work of muscles yanking a stuck tavern door open with one sharp jerk.<br>🎭 The perky puppy yanks its leash toward the squirrel.
stool	<b>say:</b> STOOL /stuɫ/<br><b>def:</b> A simple seat with legs but no back or arms — like the one you sit on at a bar.<br>🔊 "stool" = "s" + "tool" — rhymes exactly with tool.<br>📖 a barstool is basically a simple wooden tool built just for sitting up at the tavern counter.<br><hr><b>mnemonic:</b><br>🎭 The bartender sat him on a wobbly wooden stool.<br>🎭 She climbed the stool to reach the top school shelf.<br>🎭 He balanced on a three-legged stool, no backrest, no arms.
flinching	<b>say:</b> FLIN-ching /ˈfɫɪntʃɪŋ/<br><b>def:</b> Making a sudden, quick pulling-back movement or wince because something startles, hurts, or scares you.<br>🔊 "flinching" = "fl" + "inching" — rhymes exactly with inching.<br>📖 when you flinch, you're inching backward away from whatever just scared or hurt you.<br><hr><b>mnemonic:</b><br>🎭 Flynn kept flinching each time the dentist's drill buzzed.<br>🎭 She flinched, jerking back when the needle touched her skin.<br>🎭 He winced and flinched at the sudden loud clang.
clock	<b>say:</b> KLOK /klɑk/<br><b>def:</b> (verb, informal) To clock someone or something means to notice, recognize, or spot them — often suddenly, from across a room.<br>🔊 "clock" is said exactly like the timepiece "clock" — no change in sound at all.<br>📖 your eyes clock (spot) someone the instant you glance over, the same instant way you'd glance at a clock and read the time.<br><hr><b>mnemonic:</b><br>🎭 She clocked her ex the moment he walked in.<br>🎭 I clocked the shoplifter slipping a watch off the rack.<br>🎭 He clocked her fake smile across the crowded room.
huff	<b>say:</b> HUF /həf/<br><b>def:</b> To huff means to breathe out loudly and heavily, usually out of annoyance; "in a huff" describes someone irritated who shows it by sighing hard or storming off.<br>🔊 "huff" rhymes exactly with "tough" and "stuff" — same "-uff" ending.<br>📖 picture someone acting tough and huffing loudly, storming off in a huff after a tavern argument.<br><hr><b>mnemonic:</b><br>🎭 She huffed loudly and stormed off in a huff.<br>🎭 He huffed and puffed, annoyed at the tough climb.<br>🎭 In a huff, she slammed the door, breathing hard.
throne	<b>say:</b> THROHN /θroʊn/<br><b>def:</b> A throne is the special, often grand, chair a king or queen sits on — a symbol of their royal power.<br>🔊 "throne" rhymes exactly with "phone" and "own" — same "-one" ending, just add "thr" in front.<br>📖 the throne is the king's very own royal seat — his own chair of power.<br><hr><b>mnemonic:</b><br>🎭 The king sat alone on his golden throne.<br>🎭 Ron knelt before the throne to greet the queen.<br>🎭 The prince finally claimed the throne after his father died.
wrecked	<b>say:</b> REKT /rɛkt/<br><b>def:</b> Badly damaged or ruined; informally, it can also mean extremely drunk or exhausted — like after one too many rounds at the tavern.<br>🔊 "wrecked" rhymes exactly with "checked" — same "-ecked" ending.<br>📖 picture someone getting their bar tab checked at the end of the night and realizing just how wrecked (drunk, exhausted) they really are.<br>🎭 Writer protected the drunker from sitting on a badly damaged stool.
beat	<b>say:</b> BEET /bit/<br><b>def:</b> To beat someone means to hit them repeatedly, physically striking or overpowering them — as in a fight or brawl.<br>🔊 "beat" rhymes exactly with "feet" and "meet" — same "-eat/-eet" sound.<br>📖 picture fists and feet beating down on someone in a tavern brawl.<br><hr><b>mnemonic:</b><br>🎭 He beat the thief bloody near the beet cart.<br>🎭 The boxer beat his rival down in round three.<br>🎭 Gang members beat him up outside the diner.
prologue	<b>say:</b> PROH-log /ˈproʊlɑːɡ/<br><b>def:</b> An opening section that comes before the main story, giving background or setting the scene before the real action begins.<br>🔊 "prologue" = "pro" + "log" (like a ship captain's log)<br>📖 a prologue is the story's opening "log entry," written before the real tale begins<br><hr><b>mnemonic:</b><br>🎭 The pro read the log before the story began.<br>🎭 A prologue, like a captain's log, opens the tale.<br>🎭 The old sailor's log became the novel's gripping prologue.
gnarly	<b>say:</b> NAR-lee /ˈnɑrli/<br><b>def:</b> rough, twisted, and knotted, like a gnarled tree root; slang: extreme or impressive, in a good or bad way<br>🔊 "gnarly" is just "gnarl" with a "-y" tacked on<br>📖 a gnarl is a hard, twisted knot in a tree branch — something gnarly is rough, bent, and knotted like that<br>🎭 Carl skins his knee on the knotted tree root.
sweating	<b>say:</b> SWET-ing /ˈswɛtɪŋ/<br><b>def:</b> Producing sweat (moisture) from the skin, usually from heat, hard effort, or nerves.<br>🔊 "sweating" = "sweat" + "-ing" (same as "singing")<br>📖 picture beads of sweat rolling down someone's face during a tense, nerve-wracking chase<br><hr><b>mnemonic:</b><br>🎭 He kept sweating hard as the gym set got tough.<br>🎭 Nerves had her sweating before the big exam started.<br>🎭 The runner was sweating buckets after the marathon's final mile.
unwinding	<b>say:</b> un-WYND-ing /ənˈwaɪndɪŋ/<br><b>def:</b> Relaxing after being tense; also, literally uncoiling something that was wound up tight, like a rope or a scroll.<br>🔊 "unwinding" = "un" + "winding" (rhymes with "finding")<br>📖 to unwind is to slowly uncoil, like a tightly wound rope loosening and going slack<br>🎭 Uncovering the box, we find a hose uncoiled inside.
winding	<b>say:</b> WYND-ing /ˈwaɪndɪŋ/<br><b>def:</b> Curving or twisting repeatedly, like a road or path that bends back and forth; also, the act of turning something to coil it up tight (e.g. winding a clock).<br>🔊 "winding" = "wine" + "finding" (rhymes)<br>📖 to wind is to curve/twist repeatedly, like a road bending back and forth, or to coil something tight<br>🎭 Wine glass in hand, finding curves in this road.
cloak<b>say:</b> KLOHK /kloʊk/<br><b>def:</b> A loose, sleeveless outer garment that fastens at the neck and hangs down over the shoulders, often hooded.<br>🔊 "cloak" rhymes with "oak" (the tree) — just add "cl" in front<br>📖 picture a traveler's heavy cloak draped over them like bark wrapping the trunk of an old oak tree<br><hr><b>mnemonic:</b><br>🎭 She fastened her hooded cloak and slipped behind the old oak tree.<br>🎭 Smoke curled around his cloak as the sorcerer vanished into the fog.<br>🎭 At the stroke of midnight, she pulled her cloak's hood up tight.
suspiciously	<b>say:</b> suh-SPISH-us-lee /səˈspɪʃəsli/<br><b>def:</b> Describes how something looks or acts when it gives you the feeling that something isn't right — a nagging sense that things aren't what they seem, or that a situation is suspicious/off.<br>🔊 "suspiciously" is just "suspicious" + "-ly" (say "lee") tacked onto the end — say suspicious, then add "lee."<br>📖 Picture someone acting suspicious-ly: shifty eyes, lurking too close to a parked car, glancing around every few seconds like they don't want to get caught.<br>🎭 The sub surfaced under special orders, smuggling its delicious cargo past patrol boats.
tingle	<b>say:</b> TING-gul /ˈtɪŋɡəl/<br><b>def:</b> A light, prickly feeling on the skin — like tiny pins buzzing gently — from cold, a limb waking up, or a shiver of excitement.<br>🔊 "tingle" rhymes with "jingle" — both end in the same -ingle sound<br>📖 picture jingling bells sending a light, prickly tingle down your skin with every ring<br>🎭 Getting up from a single-leg meditation, my toes spark a tingle.
weathered	<b>say:</b> WETH-erd /ˈwɛðərd/<br><b>def:</b> Worn down or damaged over time by exposure to weather — wind, rain, and sun — so it looks old and rough.<br>🔊 "weathered" = "weather" + "-ed"<br>📖 picture an old stone signpost, cracked and worn smooth by years of weather beating against it<br>🎭 Desert weather left the cowboy's boots cracked and worn.
signpost	<b>say:</b> SYN-post /ˈsaɪnˌpoʊst/<br><b>def:</b> A post holding a sign that points travelers toward a direction or destination, often at a crossroads.<br>🔊 "signpost" = "sign" + "post" (exactly as it's spelled)<br>📖 picture a wooden signpost standing at a forest crossroads, its sign pointing travelers the right way<br><hr><b>mnemonic:</b><br>🎭 A hand-carved sign nailed to a post marks the forest trailhead.<br>🎭 Lost hikers found a sign fixed to a post pointing toward the village.<br>🎭 At the crossroads, a faded sign topped the post, aiming travelers north.
runes	<b>say:</b> ROONZ /ruːnz/<br><b>def:</b> Ancient carved letters or symbols, often linked to old Norse writing and believed to hold mysterious or magical meaning.<br>🔊 "runes" rhymes with "tunes"<br>📖 picture mysterious runes glowing faintly on a stone, humming their own eerie tune<br>🎭 Under a red dune, wind uncovers ancient runes.
realms	<b>say:</b> RELMZ /rɛlmz/<br><b>def:</b> Kingdoms or broad domains — areas ruled by one power, or wide fields belonging to one kind of thing.<br>🔊 "realms" rhymes with "elms" (the trees)<br>📖 picture a kingdom's borders marked by a row of tall elm trees, dividing one realm from the next<br>🎭 The queen plants new elms for every kingdom she conquers.
cobblestone	<b>say:</b> KOB-ul-stohn /ˈkɑbəlˌstoʊn/<br><b>def:</b> A small, naturally rounded stone used to pave streets, especially in older towns; cobblestone streets look bumpy because the stones aren't flat like modern pavement.<br>🔊 "cobblestone" starts with "cob" (like a corn cob) and ends with the familiar word "stone."<br>📖 picture round, knobby stones — like corn cobs — laid together to pave a street.<br><hr><b>mnemonic:</b><br>🎭 A cobbler hammered shoes above a lane paved with round cobblestones.<br>🎭 The cobbler's cart delivered smooth round stones to pave the square.<br>🎭 Rain slicked the cobbler's doorstep, its round stones shining in the dark.
tessellated	<b>say:</b> TES-uh-lay-tid /ˈtɛsəˌleɪtɪd/<br><b>def:</b> Covered with a repeating pattern of shapes (like tiles or scales) that fit together perfectly with no gaps — think of a checkerboard floor or a snake's patterned skin.<br>🔊 "tessellated" sounds like the name "Tess" plus the word "elated."<br>📖 picture Tess feeling elated (thrilled) because the floor's tiles fit together in a perfect repeating pattern.<br><hr><b>mnemonic:</b><br>🎭 Tessa laid mosaic tiles so tightly that no gap ever hid.<br>🎭 Tessa played a game where tiles locked into a gapless grid.<br>🎭 Tessa stayed up gluing honeycomb tiles for her kid, leaving no gaps.
hum	<b>say:</b> HUM /hʌm/<br><b>def:</b> A low, steady, continuous sound — like the quiet buzz of voices in a busy square, or a machine running softly in the background.<br>🔊 "hum" rhymes with "come" — just swap the C for an H.<br>📖 picture standing in a square and hearing a steady, low hum of distant voices, like everyone humming at once.<br>🎭 Hum fills the hive as bees come home.
idling	<b>say:</b> EYE-dling /ˈaɪdlɪŋ/<br><b>def:</b> Staying still and not doing anything productive — a person leaning around with nothing to do, or an engine running quietly without moving.<br>🔊 "idling" is just the familiar word "idle" with "-ing" added.<br>📖 picture someone idle — leaning against a wall, doing absolutely nothing while time passes.<br>🎭 The car idles at the curb, going nowhere.<br>Anchors: "idle" → idle (whole word, sound axis anchor)<br><br><i>Nemo alternates (unreviewed):</i><br>1. He idles by the mailbox, doing nothing.<br>Anchors: "idle" → idle (whole word, sound axis anchor)<br>2. Her cursor idles onscreen, blinking without purpose.<br>Anchors: "idle" → idle (whole word, sound axis anchor)<br>3. The lawnmower idles on the lawn, blades still.<br>Anchors: "idle" → idle (whole word, sound axis anchor)
breached	<b>say:</b> BREECHT /briːtʃt/<br><b>def:</b> Broken through or torn open by force — like a wall, gate, or fence that's been broken so something (or someone) can get past it.<br>🔊 "breached" rhymes exactly with "reached" — just swap the R for a B.<br>📖 picture soldiers who finally reached the wall and broke straight through it — that break is the breach.<br>🎭 Flood under the bridge reached, then broke through.
squat	<b>say:</b> SKWAHT /skwɑt/<br><b>def:</b> Describing a building or shape: short and wide, low to the ground and stocky-looking, rather than tall and slim.<br>🔊 "squat" = "squ-" (like squash) + "-ot" (rhymes with hot).<br>📖 picture a stubby, wide building crouching low to the ground, like someone frozen in a squat.<br>🎭 A squashed clay pot sat low, wide, and stubby on the shelf.
apparently	<b>say:</b> uh-PAIR-unt-lee /əˈpærəntli/<br><b>def:</b> "As far as anyone can tell" or "it seems" — used when something appears to be true, but you're not fully certain yourself.<br>🔊 "apparently" hides the word "parent" right in the middle: uh-PARENT-lee.<br>📖 picture a skeptical parent saying "Apparently, you 'forgot' your homework again" — apparently = the way things seem, maybe not the full truth.<br><hr><b>mnemonic:</b><br>🎭 A pear went missing — hunters searched, but Lee wasn't sure.<br>🎭 They'd only share rumors; after a month, we weren't certain.<br>🎭 Her care seemed genuine, but Aunt Lee wasn't fully convinced.
spiraling	<b>say:</b> SPY-ruh-ling /ˈspaɪrəlɪŋ/<br><b>def:</b> Moving in a curling, circular path that winds inward or outward — like smoke curling upward or stairs winding around a central pole.<br>🔊 "spiraling" is just "spiral" with "-ing" added.<br>📖 picture smoke curling round and round as it rises — that curling motion is spiraling.<br><hr><b>mnemonic:</b><br>🎭 A spy watched smoke curling into rings above the chimney.<br>🎭 A kite spun toward the sky, twisting into loops and rings.<br>🎭 A hawk spiraled downward, wings curling like a falling king.
inward	<b>say:</b> IN-wərd /ˈɪnwərd/<br><b>def:</b> Toward the inside or the center, rather than toward the outside — moving in, not out.<br>🔊 "inward" = "in" + "word" — the ending sounds exactly like "word."<br>📖 picture the word "IN" pointing straight toward the center, pulling everything inward.<br>🎭 In this word, a Latin root stands in the middle
timber	<b>say:</b> TIM-bər /ˈtɪmbər/<br><b>def:</b> Wood that has been cut and prepared for building — the beams, planks, and posts used to build houses, ships, or furniture.<br>🔊 "timber" rhymes with "limber" — just swap the L for a T.<br>📖 picture a lumberjack's freshly cut timber, its branches still limber (bendy) before they're sawed into planks.<br><hr><b>mnemonic:</b><br>🎭 Tim carried a bear-sized stack of planks for the barn.<br>🎭 Team members bared their arms hauling beams up the ship.<br>🎭 Tim's bare hands stacked fresh-cut posts for the new house.
malformed	<b>say:</b> mal-FORMD /mælˈfɔrmd/<br><b>def:</b> Shaped or formed wrongly — not having the normal, correct shape (e.g. a malformed limb, a misshapen creature).<br>🔊 "Malformed" is just two familiar words stuck together: "mal" (as in malfunction) + "formed."<br>📖 Something malformed was formed badly (mal- = bad) — its shape came out wrong or twisted instead of normal.<br><hr><b>mnemonic:</b><br>🎭 The mall's new sign looked malformed, its letters warped oddly.<br>🎭 A mad sculptor's malformed statue had one twisted arm.<br>🎭 The clay man came out malformed, with a crooked head.
circuitry	<b>say:</b> SUR-kuh-tree /ˈsɝkətɹi/<br><b>def:</b> The whole network of connected circuits — wires or channels — that make a device or system work together (e.g. "glowing arcane circuitry lined the walls").<br>🔊 "Circuitry" is just "circuit" + "-ry" (say "ree") — SUR-kuh-tree.<br>📖 Picture a tangle of wires looping into circuit after circuit — circuitry is the whole web of circuits wired together to make something run.<br><hr><b>mnemonic:</b><br>🎭 Sir, who rewired the tree of circuitry inside the robot?<br>🎭 Her old radio's circuitry sparked, glowing like a lit tree.<br>🎭 Sir, the tangled circuitry was finally set free from this old TV.
etched	<b>say:</b> ETCHT /ɛtʃt/<br><b>def:</b> To cut or scratch a design into a hard surface with a sharp tool or acid; also used for a memory or image that becomes permanently and vividly fixed in the mind.<br>🔊 "Etched" rhymes exactly with "sketched" (same /-ɛtʃt/ ending).<br>📖 A sketch is just pencil, easy to erase — but once it's etched into metal, it's cut in for good, permanently marked.<br><hr><b>mnemonic:</b><br>🎭 The artist sketched glass first, then etched it permanently with acid.
dormant	<b>say:</b> DOR-munt /ˈdɔrmənt/<br><b>def:</b> Not active right now, but able to become active again later — like something sleeping or paused, not dead or gone.<br>🔊 "dormant" opens with "dorm" (/dɔrm/), then fades into an unstressed "-ənt" ending.<br>📖 think of a college dorm at 4am — everyone's asleep, not gone, just quiet and ready to wake up; that's dormant.<br>🎭 The dorm smoke alarm stays quiet, ready to hunt for danger again.
inscription	<b>say:</b> in-SKRIP-shun /ɪnˈskrɪpʃən/<br><b>def:</b> Words carved, written, or engraved onto a surface, especially something durable like stone or metal (e.g. an inscription on an old sword's blade).<br>🔊 "Inscription" = "in" + the same "-scription" ending as "prescription."<br>📖 A prescription is words written for you by a doctor; an inscription is words written "in" a surface — carved permanently into stone or metal.<br><hr><b>mnemonic:</b><br>🎭 In script older than the sun, the tomb's inscription still shone.<br>🎭 In the museum, kids skipped past the ancient inscription, now shut away.<br>🎭 In script, the ring's inscription read until the sun sets.
implied	<b>say:</b> im-PLYD /ɪmˈplaɪd/<br><b>def:</b> Suggested or hinted at, without being said directly (e.g. her silence implied she disagreed).<br>🔊 "Implied" = "imp" + "lied" — say them back to back: imp-LIED.<br>📖 Picture a sneaky imp who never lies out loud, but always implies things with a wink — hinting at the truth instead of stating it.<br><hr><b>mnemonic:</b><br>🎭 Her silence implied she'd played along with the secret plan.<br>🎭 His raised eyebrow at him implied doubt he never spoke.<br>🎭 Her small smile implied quiet pride she never actually said.
pound	<b>say:</b> POWND /paʊnd/<br><b>def:</b> To pound means to hit something hard, again and again — not one strike, but heavy, repeated impact: a fist pounding on a door, a heart pounding from fear, or waves pounding the shore.<br>🔊 pound rhymes exactly with ground (and found, round)<br>📖 picture a heavy weight dropped again and again, pounding into the ground with repeated heavy thuds — that's exactly what the verb means: to hit hard, over and over (a fist pounding a door, a heart pounding, waves pounding the shore)<br>🎭 Peter found the enemy pounding the castle's gate.
vigilance	<b>say:</b> VIJ-uh-luhns /ˈvɪdʒələns/<br><b>def:</b> The quality of staying alert and watchful, especially to notice danger or trouble before it happens.<br>🔊 vigilance starts with vigil (VIJ-uh — exact match); the ending echoes “lens”<br>📖 watchful, alert attention to danger (from Latin vigilantia, “wakefulness”)<br>🎭 The night watchman's watchful vigil scans the dark through a lens.
hose	<b>say:</b> HOHZ /hoʊz/<br><b>def:</b> a long, bendy tube that liquid flows through — like the one you use to water a garden or wash a car<br>🔊 "hose" rhymes exactly with "flows"<br>📖 water flows out through the hose, spraying across the garden<br>🎭 I trade my hoes for the hose to flood the garden rows.<br><br><i>Nemo alternates (unreviewed):</i><br>(none)
vapid	<b>say:</b> VAP-id /ˈvæpɪd/<br><b>def:</b> Vapid describes something flat, dull, and lacking spirit or interest — no spark, no flavor, nothing going on. It's often used for conversation, writing, or a personality that feels empty.<br>🔊 "Vapid" rhymes almost exactly with "rapid" — same "-apid" ending, just swap the R for a V.<br>📖 Picture a soda left open overnight: flat, no fizz, no life — that's vapid, the total opposite of "rapid" excitement, just empty and dull.
circulation	<b>say:</b> sur-kyuh-LAY-shun /ˌsɝkjəˈleɪʃən/<br><b>def:</b> the continuous movement of something around a system in a loop — most commonly blood moving through the body via the heart and blood vessels, but also used for air, money, or news moving around<br>🔊 "circulation" opens with "circle" (SUR-kyuh) then finishes with "-LAY-shun"<br>📖 blood moves in a circle around your body — out from the heart, around, and back in a loop — that loop is circulation<br>🎭 Runners circle the track in a relay, blood looping through their legs.<br>Anchors: "sur-kyuh" → circle, "-lay-shun" → relay<br><br><i>Nemo alternates (unreviewed):</i><br>1. Heart pumps circle the chest, laying blood in one nonstop loop.<br>Anchors: "sur-kyuh" → circle, "-lay-shun" → laying<br>2. Runners circle the stadium, shunning rest, blood looping every lap.<br>Anchors: "sur-kyuh" → circle, "-shun" → shunning
tertiary	<b>say:</b> TUR-shee-air-ee /ˈtɜrʃiˌɛri/<br><b>def:</b> means "third in order or level" — comes after primary (first) and secondary (second), e.g. tertiary education, tertiary care, tertiary color<br>🔊 "tertiary" opens with TUR (like turtle), then "she," then ends in -airy (as in "primary, secondary... tertiary" — same -ary sound as airy)<br>📖 picture a turtle crossing the finish line in third place — after primary (1st) and secondary (2nd) — that's tertiary: third in order or rank<br>🎭 In the race, the turtle finished third; she donned a hairy medal. Anchors: "tur" → turtle, "shee" → she, "-airy" → hairy<br><br><i>Nemo alternates (unreviewed):</i><br>1. Wearing a turban, the chef placed third; she seemed very disappointed. Anchors: "tur" → turban, "shee" → she, "-airy" → very<br>2. Grandma's turkey pie ranked only third; she wilted, cherry-red with shame. Anchors: "tur" → turkey, "shee" → she, "-airy" → cherry
weave	<b>say:</b> WEEV /wiːv/<br><b>def:</b> To cross threads or strips over and under each other to make cloth, a basket, or a mat. It also means to combine separate parts (like details in a story) into one connected whole, or to move side to side while going forward (like weaving through traffic).<br>🔊 "Weave" is a perfect homophone of "we've" (/wiːv/) — say "we've" and you're already saying "weave."<br>📖 Picture threads crossing over-under-over-under to form cloth — or a writer crossing separate story threads into one connected plot.<br>🎭 We've crossed the threads over, under, over to weave a scarf.<br><br><i>Nemo alternates (unreviewed):</i><br>1. We've laced willow strips under, over into a woven basket.<br>2. We've threaded the loom, weaving red and gold into a rug.
levee	<b>say:</b> LEV-ee /ˈlɛvi/<br><b>def:</b> a raised wall or bank of earth built along a river to keep it from flooding nearby land<br>🔊 "levee" rhymes with "heavy" — same vowel, same ending, only the first sound changes (H → L)<br>📖 a levee holds back the heavy weight of floodwater after heavy rain<br>🎭 Heavy floodwater shoves the river; the levee bank never breaks.
susceptible	<b>say:</b> suh-SEP-tuh-bul /səˈsɛptəbəl/<br><b>def:</b> easily affected or influenced by something, especially something bad like illness or persuasion<br>🔊 susceptible opens like "sus-" in suspect, then hides a tub near the end — suh-SEP-tuh-bul.<br>📖 picture a cracked tub — water seeps right through it, because it's susceptible to leaks.<br>🎭 The suspect shivers in a cracked tub, easily affected by cold germs.<br>Anchors: "sus" → suspect, "tub" → tub<br><br><i>Nemo alternates (unreviewed):</i><br>1. In the tub, the naive suspect is easily affected by every rumor.<br>Anchors: "sus" → suspect, "tub" → tub<br>2. The suspect, easily affected by peer pressure, hides in an empty tub.<br>Anchors: "sus" → suspect, "tub" → tub
conducting	<b>say:</b> kun-DUK-ting /kənˈdʌktɪŋ/<br><b>def:</b> Conducting means leading or guiding something so it moves the way you want it to — directing a group of musicians as they play, managing an activity or process, or (for electricity) letting current flow through.<br>🔊 "conducting" has "duct" hidden right in the middle — like a duct (an air pipe) that leads something through.<br>📖 a conductor conducts an orchestra by leading it, and a duct conducts air or electricity by leading it through — "conduct" literally means "lead through."<br>🎭 The sun leads a beam straight down the narrow duct. Anchors: "kun" → sun, "duct" → duct (air duct)<br><br><i>Nemo alternates (unreviewed):</i><br>1. The old founder's son now leads the entire duct-installation crew. Anchors: "kun" → son, "duct" → duct (duct-installation)<br>2. Her son duct-tapes the mic stand, then leads the choir on cue. Anchors: "kun" → son, "duct" → duct (duct-tapes)
